# Simulation 1 (Data loaded from a file)
# 1236 data points written for 10 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Mass (g),Wind velocity (m/s),Speed of sound (m/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
239.826,261.177,-5.624,6.016,0.138,NaN,2.999e4,2.057,333.837,0.017
240.113,259.561,-5.624,6.002,0.344,NaN,2.999e4,1.899,333.844,0.017
240.4,257.946,-5.622,5.966,0.301,NaN,2.999e4,2.171,333.85,0.017
240.687,256.331,-5.622,5.995,0.379,NaN,2.999e4,1.867,333.856,0.017
240.975,254.716,-5.62,5.957,0.163,NaN,2.999e4,1.882,333.863,0.017
241.262,253.101,-5.622,5.943,0.064,NaN,2.999e4,1.966,333.869,0.017
241.549,251.486,-5.622,5.949,0.063,NaN,2.999e4,1.983,333.876,0.017
241.836,249.872,-5.621,5.955,0.085,NaN,2.999e4,1.917,333.882,0.017
242.124,248.258,-5.621,5.946,0.012,NaN,2.999e4,1.948,333.888,0.017
242.411,246.644,-5.62,5.947,0.382,NaN,2.999e4,2.164,333.895,0.017
242.698,245.031,-5.618,5.981,0.379,NaN,2.999e4,1.837,333.901,0.017
242.985,243.418,-5.617,5.944,0.468,NaN,2.999e4,1.677,333.907,0.017
243.272,241.805,-5.616,5.9,0.029,NaN,2.999e4,1.794,333.914,0.017
243.559,240.192,-5.619,5.9,0.18,NaN,2.999e4,1.906,333.92,0.017
243.846,238.58,-5.618,5.916,0.343,NaN,2.999e4,2.051,333.926,0.017
244.133,236.968,-5.616,5.945,0.052,NaN,2.999e4,1.982,333.933,0.017
244.42,235.356,-5.617,5.952,0.241,NaN,2.999e4,2.106,333.939,0.017
244.707,233.744,-5.616,5.974,0.002,NaN,2.999e4,2.038,333.945,0.017
244.994,232.132,-5.616,5.974,0.027,NaN,2.999e4,2.022,333.952,0.017
245.281,230.521,-5.616,5.971,0.011,NaN,2.999e4,2.023,333.958,0.017
245.568,228.91,-5.615,5.97,0.183,NaN,2.999e4,1.921,333.964,0.017
245.855,227.3,-5.614,5.951,0.542,NaN,2.999e4,1.663,333.971,0.017
246.142,225.69,-5.61,5.897,0.194,NaN,2.999e4,1.707,333.977,0.017
246.429,224.079,-5.614,5.884,0.661,NaN,2.999e4,2.141,333.983,0.017
246.715,222.47,-5.607,5.937,0.416,NaN,2.999e4,2.191,333.99,0.017
247.003,220.86,-5.611,5.981,0.204,NaN,2.999e4,1.955,333.996,0.017
247.289,219.25,-5.612,5.962,0.245,NaN,2.999e4,1.873,334.002,0.017
247.576,217.641,-5.611,5.938,0.092,NaN,2.999e4,1.89,334.009,0.017
247.863,216.032,-5.612,5.93,0.275,NaN,2.999e4,2.074,334.015,0.017
248.149,214.424,-5.61,5.954,0.26,NaN,2.999e4,2.145,334.021,0.017
248.436,212.815,-5.61,5.98,0.155,NaN,2.999e4,1.981,334.028,0.017
248.723,211.207,-5.61,5.965,0.418,NaN,2.999e4,1.786,334.034,0.017
249.009,209.6,-5.608,5.922,0.173,NaN,2.999e4,2.005,334.04,0.017
249.296,207.992,-5.609,5.94,0.375,NaN,2.999e4,2.17,334.047,0.017
249.583,206.385,-5.607,5.974,0.237,NaN,2.999e4,2.199,334.053,0.017
249.869,204.777,-5.608,5.999,0.207,NaN,2.999e4,2.249,334.059,0.017
250.156,203.171,-5.608,6.02,0.028,NaN,2.999e4,2.206,334.066,0.017
250.442,201.564,-5.608,6.023,0.092,NaN,2.999e4,2.145,334.072,0.017
250.729,199.958,-5.607,6.013,0.326,NaN,2.999e4,1.985,334.078,0.017
251.015,198.352,-5.605,5.978,0.004,NaN,2.999e4,2.08,334.085,0.017
251.302,196.746,-5.607,5.98,0.554,NaN,2.999e4,1.763,334.091,0.017
251.588,195.141,-5.602,5.922,0.227,NaN,2.999e4,1.791,334.097,0.017
251.875,193.535,-5.605,5.904,0.327,NaN,2.999e4,1.669,334.104,0.017
252.161,191.93,-5.604,5.874,0.066,NaN,2.999e4,1.8,334.11,0.017
252.448,190.325,-5.605,5.881,0.318,NaN,2.999e4,1.963,334.116,0.017
252.734,188.72,-5.603,5.907,0.169,NaN,2.999e4,1.775,334.123,0.017
253.02,187.116,-5.604,5.893,0.15,NaN,2.999e4,1.909,334.129,0.017
253.306,185.512,-5.603,5.906,0.413,NaN,2.999e4,2.103,334.135,0.017
253.593,183.908,-5.601,5.942,0.324,NaN,2.999e4,2.17,334.142,0.017
253.879,182.305,-5.601,5.974,0.255,NaN,2.999e4,1.931,334.148,0.017
254.165,180.701,-5.601,5.949,0.633,NaN,2.999e4,1.643,334.154,0.017
254.451,179.099,-5.596,5.885,0.167,NaN,2.999e4,1.727,334.161,0.017
254.738,177.495,-5.601,5.875,0.026,NaN,2.999e4,1.76,334.167,0.017
255.024,175.893,-5.601,5.873,0.145,NaN,2.999e4,1.685,334.173,0.017
255.31,174.29,-5.6,5.86,0.36,NaN,2.999e4,1.932,334.18,0.017
255.596,172.688,-5.598,5.889,0.843,NaN,2.999e4,2.31,334.186,0.017
255.882,171.088,-5.589,5.96,0.642,NaN,2.999e4,2.437,334.192,0.017
256.169,169.486,-5.593,6.03,0.127,NaN,2.999e4,2.182,334.199,0.017
256.455,167.884,-5.598,6.022,0.297,NaN,2.999e4,2.048,334.205,0.017
256.741,166.283,-5.597,5.99,0.36,NaN,2.999e4,1.927,334.211,0.017
257.027,164.682,-5.596,5.953,0.585,NaN,2.999e4,1.696,334.217,0.017
257.313,163.082,-5.592,5.894,0.096,NaN,2.999e4,1.918,334.224,0.017
257.599,161.481,-5.597,5.907,0.311,NaN,2.999e4,2.068,334.23,0.017
257.885,159.881,-5.595,5.935,0.386,NaN,2.999e4,2.2,334.236,0.017
258.171,158.281,-5.594,5.971,0.442,NaN,2.999e4,2.342,334.243,0.017
258.457,156.682,-5.593,6.016,0.055,NaN,2.999e4,2.184,334.249,0.017
258.743,155.082,-5.595,6.012,0.286,NaN,2.999e4,2.037,334.255,0.017
259.029,153.483,-5.594,5.981,0.155,NaN,2.999e4,2.03,334.262,0.017
259.315,151.884,-5.594,5.966,0.282,NaN,2.999e4,2.235,334.268,0.017
259.601,150.286,-5.593,5.993,0.04,NaN,2.999e4,2.132,334.274,0.017
259.886,148.687,-5.593,5.99,0.188,NaN,2.999e4,2.036,334.28,0.017
260.172,147.089,-5.593,5.97,0.168,NaN,2.999e4,1.993,334.287,0.017
260.458,145.491,-5.592,5.953,0.489,NaN,2.999e4,2.321,334.293,0.017
260.744,143.894,-5.589,5.999,0.263,NaN,2.999e4,2.331,334.299,0.017
261.029,142.296,-5.591,6.029,0.038,NaN,2.999e4,2.278,334.306,0.017
261.315,140.699,-5.591,6.033,0.233,NaN,2.999e4,2.134,334.312,0.017
261.601,139.102,-5.59,6.008,0.143,NaN,2.999e4,2.282,334.318,0.017
261.886,137.506,-5.59,6.023,0.349,NaN,2.999e4,2.042,334.324,0.017
262.172,135.91,-5.588,5.984,0.597,NaN,2.999e4,1.801,334.331,0.017
262.458,134.314,-5.584,5.922,0.412,NaN,2.999e4,1.736,334.337,0.017
262.743,132.718,-5.587,5.886,0.053,NaN,2.999e4,1.823,334.343,0.017
263.029,131.122,-5.589,5.883,0.432,NaN,2.999e4,2.085,334.35,0.017
263.314,129.527,-5.586,5.92,0.378,NaN,2.999e4,2.177,334.356,0.017
263.6,127.932,-5.586,5.957,0.21,NaN,2.999e4,1.95,334.362,0.017
263.885,126.336,-5.587,5.937,0.288,NaN,2.999e4,1.845,334.368,0.017
264.171,124.742,-5.586,5.909,0.132,NaN,2.999e4,2.003,334.375,0.017
264.456,123.147,-5.586,5.922,0.196,NaN,2.999e4,1.854,334.381,0.017
264.742,121.553,-5.586,5.903,0.371,NaN,2.999e4,2.121,334.387,0.017
265.027,119.96,-5.584,5.936,0.119,NaN,2.999e4,1.947,334.394,0.017
265.313,118.366,-5.585,5.926,0.294,NaN,2.999e4,1.813,334.4,0.017
265.598,116.772,-5.584,5.897,0.364,NaN,2.999e4,1.69,334.406,0.017
265.883,115.179,-5.583,5.863,0.258,NaN,2.999e4,1.941,334.412,0.017
266.169,113.586,-5.583,5.887,0.168,NaN,2.999e4,1.771,334.419,0.017
266.454,111.994,-5.583,5.872,0.036,NaN,2.999e4,1.84,334.425,0.017
266.739,110.401,-5.583,5.875,0.275,NaN,2.999e4,1.986,334.431,0.017
267.024,108.809,-5.582,5.899,0.369,NaN,2.999e4,2.118,334.438,0.017
267.309,107.217,-5.58,5.932,0.099,NaN,2.999e4,2.07,334.444,0.017
267.595,105.625,-5.582,5.943,0.327,NaN,2.999e4,1.855,334.45,0.017
267.88,104.034,-5.58,5.91,0.238,NaN,2.999e4,2.084,334.456,0.017
268.165,102.443,-5.58,5.933,0.313,NaN,2.999e4,1.838,334.463,0.017
268.45,100.852,-5.579,5.902,0.037,NaN,2.999e4,1.906,334.469,0.017
268.735,99.261,-5.58,5.9,0.02,NaN,2.999e4,1.905,334.475,0.017
269.02,97.671,-5.58,5.898,0.147,NaN,2.999e4,1.827,334.481,0.017
269.305,96.08,-5.579,5.884,0.175,NaN,2.999e4,1.769,334.488,0.017
269.59,94.49,-5.578,5.867,0.056,NaN,2.999e4,1.851,334.494,0.017
269.875,92.901,-5.578,5.872,0.251,NaN,2.999e4,1.692,334.5,0.017
270.16,91.311,-5.577,5.849,0.052,NaN,2.999e4,1.792,334.506,0.017
270.445,89.722,-5.578,5.854,0.306,NaN,2.999e4,1.604,334.513,0.017
270.73,88.133,-5.576,5.826,0.134,NaN,2.999e4,1.767,334.519,0.017
271.015,86.544,-5.576,5.838,0.426,NaN,2.999e4,1.487,334.525,0.017
271.3,84.956,-5.574,5.801,0.317,NaN,2.999e4,1.788,334.531,0.017
271.585,83.368,-5.574,5.827,0.255,NaN,2.999e4,1.843,334.538,0.017
271.87,81.78,-5.574,5.849,0.428,NaN,2.999e4,2.014,334.544,0.017
272.154,80.193,-5.572,5.885,0.109,NaN,2.999e4,1.955,334.55,0.017
272.439,78.605,-5.574,5.897,0.067,NaN,2.999e4,1.885,334.556,0.017
272.724,77.018,-5.574,5.89,0.248,NaN,2.999e4,2.045,334.563,0.017
273.009,75.431,-5.573,5.912,0.097,NaN,2.999e4,1.92,334.569,0.017
273.294,73.844,-5.573,5.903,0.116,NaN,2.999e4,2.014,334.575,0.017
273.578,72.258,-5.572,5.914,0.263,NaN,2.999e4,1.831,334.581,0.017
273.863,70.672,-5.571,5.888,0.038,NaN,2.999e4,1.884,334.588,0.017
274.147,69.086,-5.572,5.885,0.386,NaN,2.999e4,2.115,334.594,0.017
274.432,67.501,-5.569,5.919,0.59,NaN,2.999e4,1.67,334.6,0.017
274.717,65.916,-5.566,5.861,0.013,NaN,2.999e4,1.83,334.606,0.017
275.002,64.33,-5.57,5.864,0.092,NaN,2.999e4,1.886,334.613,0.017
275.286,62.745,-5.57,5.872,0.013,NaN,2.999e4,1.867,334.619,0.017
275.571,61.161,-5.569,5.873,0.723,NaN,2.999e4,2.273,334.625,0.017
275.855,59.578,-5.561,5.934,0.385,NaN,2.999e4,2.288,334.631,0.017
276.14,57.993,-5.566,5.977,0.091,NaN,2.999e4,2.23,334.638,0.017
276.424,56.409,-5.568,5.988,0.073,NaN,2.999e4,2.163,334.644,0.017
276.709,54.825,-5.568,5.98,0.017,NaN,2.999e4,2.193,334.65,0.017
276.993,53.242,-5.567,5.982,0.086,NaN,2.999e4,2.139,334.656,0.017
277.278,51.659,-5.567,5.972,0.315,NaN,2.999e4,1.985,334.663,0.017
277.562,50.076,-5.565,5.939,0.388,NaN,2.999e4,1.854,334.669,0.017
277.846,48.494,-5.564,5.9,0.165,NaN,2.999e4,1.87,334.675,0.017
278.131,46.911,-5.565,5.886,0.135,NaN,2.999e4,1.84,334.681,0.017
278.415,45.329,-5.565,5.873,0.104,NaN,2.999e4,1.938,334.688,0.017
278.699,43.748,-5.564,5.882,0.469,NaN,2.999e4,2.174,334.694,0.017
278.983,42.167,-5.561,5.924,0.002,NaN,2.999e4,2.04,334.7,0.017
279.268,40.585,-5.564,5.926,0.487,NaN,2.999e4,1.765,334.706,0.017
279.552,39.004,-5.56,5.876,0.382,NaN,2.999e4,1.686,334.712,0.017
279.836,37.423,-5.561,5.843,0.035,NaN,2.999e4,1.814,334.719,0.017
280.121,35.843,-5.562,5.847,0.185,NaN,2.999e4,1.909,334.725,0.017
280.405,34.262,-5.561,5.863,0.406,NaN,2.999e4,2.087,334.731,0.017
280.689,32.683,-5.559,5.898,0.359,NaN,2.999e4,2.176,334.737,0.017
280.973,31.103,-5.559,5.933,0.15,NaN,2.999e4,2.159,334.744,0.017
281.257,29.523,-5.56,5.949,0.241,NaN,2.999e4,1.98,334.75,0.017
281.541,27.944,-5.559,5.924,0.591,NaN,2.999e4,1.713,334.756,0.017
281.825,26.366,-5.555,5.864,0.078,NaN,2.999e4,1.924,334.762,0.017
282.109,24.786,-5.559,5.875,0.325,NaN,2.999e4,2.087,334.768,0.017
282.393,23.208,-5.557,5.904,0.787,NaN,2.999e4,2.44,334.775,0.017
282.677,21.631,-5.549,5.976,0.305,NaN,2.999e4,2.045,334.781,0.017
282.962,20.052,-5.556,5.951,0.363,NaN,2.999e4,1.926,334.787,0.017
283.246,18.474,-5.556,5.914,0.275,NaN,2.999e4,1.872,334.793,0.017
283.53,16.897,-5.556,5.888,0.383,NaN,2.999e4,1.733,334.8,0.017
283.814,15.32,-5.554,5.852,0.457,NaN,2.999e4,2.1,334.806,0.017
284.097,13.743,-5.553,5.892,0.153,NaN,2.999e4,2.058,334.812,0.017
284.381,12.166,-5.555,5.909,0.59,NaN,2.999e4,2.349,334.818,0.017
284.665,10.59,-5.55,5.964,0.287,NaN,2.999e4,2.019,334.824,0.017
284.949,9.013,-5.554,5.937,0.044,NaN,2.999e4,2.126,334.831,0.017
285.233,7.437,-5.554,5.943,0.475,NaN,2.999e4,1.844,334.837,0.017
285.517,5.862,-5.551,5.892,0.112,NaN,2.999e4,2.042,334.843,0.017
285.801,4.286,-5.553,5.906,0.584,NaN,2.999e4,1.679,334.849,0.017
286.084,2.712,-5.548,5.846,0.14,NaN,2.999e4,1.924,334.855,0.017
# Event GROUND_HIT occurred at t=286.573 seconds
# Event SIMULATION_END occurred at t=286.573 seconds
286.573,0,-5.555,5.875,0.295,NaN,2.999e4,1.745,334.866,0.017
